school_name,capacity,school_district,min_score,adjust_ratio 
Alabama A & M University,12,A,82,62
University of Alabama at Birmingham,87,A,66,95
Amridge University,19,A,22,8
University of Alabama in Huntsville,28,A,86,77
Alabama State University,97,A,24,88
The University of Alabama,99,A,39,39
Central Alabama Community College,52,A,30,79
Athens State University,94,A,39,41
Auburn University at Montgomery,92,A,52,20
Auburn University,71,A,65,35
Birmingham Southern College,61,A,23,96
Chattahoochee Valley Community College,91,A,76,17
Concordia College Alabama,10,A,40,28
South University-Montgomery,14,A,65,15
Enterprise State Community College,35,A,31,67
Coastal Alabama Community College,55,A,46,81
Faulkner University,23,A,76,91
Gadsden State Community College,8,A,69,39
New Beginning College of Cosmetology,72,A,2,72
George C Wallace Community College-Dothan,45,A,66,70
George C Wallace State Community College-Hanceville,85,A,60,21
George C Wallace State Community College-Selma,87,A,79,77
Herzing University-Birmingham,39,A,69,52
Huntingdon College,48,A,18,51
Heritage Christian University,76,A,54,82
J. F. Drake State Community and Technical College,11,A,89,87
J F Ingram State Technical College,77,A,17,23
Jacksonville State University,42,A,82,34
Jefferson Davis Community College,79,A,92,44
Jefferson State Community College,58,A,1,52
John C Calhoun State Community College,53,A,18,16
Judson College,48,A,87,41
Lawson State Community College-Birmingham Campus,85,A,19,17
University of West Alabama,75,A,24,49
Lurleen B Wallace Community College,23,A,78,59
Marion Military Institute,39,A,23,82
Miles College,43,A,17,27
University of Mobile,24,A,71,15
University of Montevallo,96,A,14,50
Northwest-Shoals Community College,11,A,95,19
University of North Alabama,81,A,59,16
Northeast Alabama Community College,34,A,1,89
Oakwood University,96,A,96,51
Alabama Southern Community College,75,A,88,37
Prince Institute-Southeast,76,A,42,99
Reid State Technical College,90,A,22,62
Bishop State Community College,54,A,12,87
Samford University,50,A,35,1
Selma University,14,A,57,76
Shelton State Community College,37,A,14,54
Snead State Community College,100,A,93,43
University of South Alabama,29,A,34,35
Spring Hill College,66,A,39,27
Southeastern Bible College,89,A,42,53
Stillman College,68,A,38,35
Talladega College,90,A,53,66
H Councill Trenholm State Community College,35,B,9,67
Troy University,86,B,27,34
Tuskegee University,55,B,2,50
United States Sports Academy,93,B,76,65
Bevill State Community College,88,B,93,30
University of Alaska Anchorage,69,B,11,14
Alaska Bible College,44,B,66,54
University of Alaska Fairbanks,40,B,71,33
University of Alaska Southeast,64,B,90,76
Alaska Pacific University,59,B,5,2
AVTEC-Alaska's Institute of Technology,8,B,52,25
Charter College,3,B,51,30
Alaska Career College,94,B,49,11
Empire Beauty School-Tucson,78,B,95,100
Thunderbird School of Global Management,51,B,59,10
American Institute of Trucking,14,B,19,34
Carrington College-Phoenix North,22,B,3,9
Carrington College-Mesa,23,B,59,44
Carrington College-Tucson,29,B,19,16
CollegeAmerica-Flagstaff,17,B,81,78
Arizona Academy of Beauty-East,2,B,11,23
Arizona Automotive Institute,52,B,1,27
Brookline College-Phoenix,91,B,18,98
Arizona State University-Tempe,41,B,69,79
Arizona Western College,59,B,29,91
University of Arizona,61,B,40,52
Southwest University of Visual Arts-Tucson,49,B,100,5
Central Arizona College,30,B,82,13
Brown Mackie College-Tucson,83,B,35,61
Charles of Italy Beauty College,37,B,75,25
Cochise County Community College District,46,B,50,31
Empire Beauty School-Flagstaff,34,B,94,27
Empire Beauty School-Chandler,25,B,63,68
Cortiva Institute-Tucson,87,B,20,59
Avalon School of Cosmetology-Mesa,55,B,29,94
Eastern Arizona College,2,B,34,75
Embry-Riddle Aeronautical University-Prescott,51,B,28,42
School of Architecture at Taliesin,54,B,34,80
Glendale Community College,68,B,41,32
Grand Canyon University,74,B,57,15
Olympian Academy of Cosmetology,82,B,3,42
GateWay Community College,74,B,20,51
Mesa Community College,10,B,43,77
Mohave Community College,31,B,5,54
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,30,B,26,27
Dine College,82,B,31,97
Northern Arizona University,43,B,97,31
Northland Pioneer College,15,B,77,65
